,HAM31,HAM32,HAM33,HAM34,HAM35,HAM36,HAM37,HFRX Commodity Index,DJUBS Commodity,Morningstar CLS,Newedge CTI
2008-08-31,0.0152,-0.0169,-0.0311,0.0717,,-0.0126,-0.032,-0.0057,-0.0742,-0.1089,-0.0241
2008-09-30,-0.0002,-0.0228,-0.0496,0.0062,,-0.0334,-0.0317,-0.0012,-0.1164,0.0036,-0.0282
2008-10-31,0.0387,-0.0314,-0.0736,0.1335,,-0.0199,-0.0015,0.0333,-0.2134,0.0764,-0.0283
2008-11-30,-0.0199,-0.0781,-0.0237,0.0158,,-0.0001,-0.0025,-0.0014,-0.0699,0.0036,0.0019
2008-12-31,0.004,-0.0162,-0.0007,-0.0196,,0.0004,-0.0026,0.0056,-0.0449,-0.0123,0.0075
2009-01-31,-0.0124,0.0328,0.0019,0.0225,,-0.0042,0.0058,-0.0027,-0.0538,-0.0055,0.0055
2009-02-28,-0.0162,-0.0437,-0.0194,0.0053,,-0.0309,0.0026,-0.0056,-0.0445,0.0154,-0.002
2009-03-31,-0.0349,0.0166,0.0111,0.0018,,0.003,0.0274,-0.0062,0.0358,-0.0296,0.0037
2009-04-30,-0.019,0.0153,0.0192,0.0484,,0.0184,0.0195,-0.0124,0.0072,-0.0226,0.0044
2009-05-31,0.0132,0.0018,0.0304,0.0759,,0.0436,0.0721,0.0107,0.1299,-0.0309,0.0469
2009-06-30,-0.0229,0.0117,-0.0323,-0.0234,,-0.0308,-0.0083,-0.0069,-0.0191,0.0362,-0.0141
2009-07-31,0.014,-0.0222,0.002,0.0245,,0.0014,0.0228,-0.0073,0.0321,-0.0079,0.0012
2009-08-31,0.009,-0.0168,-0.0122,0.0097,,0.009,0.0302,0.0104,-0.0059,0.028,0.0024
2009-09-30,-0.0138,0.0199,0.0053,0.034,,0.0035,-0.0174,-0.0122,0.0155,0.006,-0.0008
2009-10-31,0.0027,0.0076,0.0137,-0.0066,,-0.0232,0.0147,-0.0011,0.0327,-0.0377,-0.0029
2009-11-30,0.0063,-0.0187,0.0026,0.0401,,-0.0372,0.0309,0.0132,0.0351,0.0043,0.0207
2009-12-31,-0.0085,0.017,-0.0218,0.0007,,0.0147,0.0202,-0.0099,0.0198,0.0091,-0.0002
2010-01-31,0.0017,-0.0011,-0.0164,-0.041,,0.0006,-0.0353,-0.0313,-0.0729,-0.0456,-0.0152
2010-02-28,-0.0068,0.0365,-0.0107,0.0063,,-0.0328,0.003,-0.0224,0.037,0.0238,0.0006
2010-03-31,-0.0049,-0.0382,-0.0157,0.0356,,-0.0114,0.0201,0.0127,-0.0126,0.0218,-0.0017
2010-04-30,0.0246,0.0161,0.0012,0.0172,,-0.0102,0.0144,0.0206,0.0193,0.0136,0.0053
2010-05-31,0.0079,0.029,0.0032,-0.0192,,0.009,-0.0879,-0.0181,-0.0693,-0.0568,-0.0252
2010-06-30,-0.002,0.0742,0.0091,-0.007,,-0.0288,-0.0086,-0.0144,0.0031,-0.0061,-0.0056
2010-07-31,0.0173,-0.0128,0.0075,0.0063,,-0.0174,0.0184,0,0.0676,-0.04,0.0141
2010-08-31,0.0069,0.0212,0.0168,-0.0182,,0.031,0.0056,-0.0014,-0.0255,0.0114,0.0071
2010-09-30,0.0179,0.036,0.0254,0.0743,,0.0273,0.0454,0.0124,0.0725,0.0324,0.0348
2010-10-31,0.0243,0.0305,0.0295,0.0451,,0.0895,0.0445,-0.0082,0.0497,0.0539,0.0322
2010-11-30,-0.0006,0.006,-0.0143,0.0153,,-0.0386,0.0009,0.0147,-0.0037,0.0148,0.0012
2010-12-31,0.0397,0.0377,0.0494,0.0467,,0.0515,0.0594,-0.0144,0.1067,0.0957,0.0429
2011-01-31,0.0215,0.0227,0.0054,0.0083,,0.0291,0.01,0.0162,0.0099,0.0289,-0.0021
2011-02-28,0.0246,-0.0029,0.0057,0.0252,,-0.0222,0.004,-0.0055,0.0132,0.0394,0.0149
2011-03-31,-0.0064,0.0269,0.0279,-0.0234,,-0.0017,0.0173,0.0135,0.0206,0.0269,0.0008
2011-04-30,0.0098,0.0292,0.0011,0.0399,,0.0355,0.0133,0.017,0.0346,0.0299,0.0155
2011-05-31,-0.0226,0.0423,-0.0189,-0.0411,,0.0223,-0.0228,-0.0436,-0.0506,-0.0498,-0.0116
2011-06-30,-0.0199,-0.0136,-0.0143,-0.0207,,-0.0005,-0.0245,-0.025,-0.0505,-0.0306,-0.0235
2011-07-31,-0.0025,0.0035,-0.0016,0.0106,,0.0003,0.0155,0.0074,0.0296,0.0237,0.0099
2011-08-31,0.0192,0.0141,0.0021,-0.0174,,0.0228,-0.0314,-0.0086,0.01,0.0026,0.0027
2011-09-30,-0.032,-0.0357,-0.0729,-0.0657,,-0.0395,-0.0558,-0.0379,-0.1474,-0.0759,-0.0274
2011-10-31,-0.0102,0.0087,0.0174,0.0498,,0.0028,0.0211,0.0204,0.0662,0.025,0.0099
2011-11-30,-0.0068,0.0051,-0.0329,-0.0156,,-0.006,-0.002,-0.0119,-0.0222,0.028,-0.0026
2011-12-31,-0.0124,-0.031,-0.0242,-0.0113,,0.0055,-0.015,-0.0415,-0.0375,-0.0248,0.0008
2012-01-31,0.0046,0.0058,0.0175,0.0373,,-0.0137,-0.0037,0.0035,0.0247,0.0025,0.0056
2012-02-29,0.0001,0.0007,0.0218,0.022,,0.0087,0.0082,0.006,0.0269,0.016,0.0023
2012-03-31,-0.0265,-0.0033,-0.0178,0.0018,,0.0003,-0.0214,-0.0088,-0.0415,0.0041,-0.0058
